RWrist:X,RWrist:Y,RWrist:Z,RElbow:X,RElbow:Y,RElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,LElbow:X,LElbow:Y,LElbow:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,RHip:X,RHip:Y,RHip:Z,LHip:X,LHip:Y,LHip:Z,RKnee:X,RKnee:Y,RKnee:Z,LKnee:X,LKnee:Y,LKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,LAnkle:X,LAnkle:Y,LAnkle:Z
-0.6208782,0.1922935,1.405892,-0.3723723,0.2040524,1.416615,0.7892638,0.06994577,1.45055,0.5542488,0.1521812,1.446824,-0.09555859,0.1201731,1.480991,0.2645607,0.1125003,1.494908,-0.03639244,0.08673275,1.004366,0.2096636,0.07016744,0.9767938,-0.0902522,0.136126,0.5378624,0.2475888,0.1094827,0.5077701,-0.1397739,0.2225899,0.07995376,0.2870993,0.205229,0.05073627
-0.621124,0.1921144,1.406228,-0.3726291,0.2043091,1.416717,0.7890781,0.06947985,1.451851,0.5541886,0.1520517,1.44768,-0.09576683,0.1205266,1.48101,0.2643562,0.112658,1.495126,-0.03643403,0.08776376,1.004344,0.2095938,0.07062602,0.97687,-0.09030496,0.13628,0.5377495,0.2475468,0.1095895,0.5078191,-0.1398455,0.2226726,0.07982946,0.2871129,0.2052704,0.05077644
-0.6213565,0.192223,1.406527,-0.3728611,0.2045235,1.416881,0.788895,0.06908152,1.453014,0.5541316,0.1519877,1.448396,-0.09592144,0.1208764,1.481016,0.2641859,0.1128665,1.495373,-0.03655685,0.08835842,1.004469,0.2094238,0.07071756,0.9768911,-0.09038907,0.1363629,0.5378169,0.2474667,0.1096439,0.5078445,-0.1398906,0.2226861,0.07987959,0.2871139,0.205277,0.0507988
-0.6215798,0.1924446,1.406849,-0.3730792,0.2047462,1.417076,0.7888054,0.06894296,1.453982,0.5540807,0.1519402,1.44904,-0.09609101,0.1211715,1.481097,0.264017,0.1131146,1.495531,-0.0367471,0.08855373,1.004532,0.2092098,0.07068864,0.9768876,-0.09049262,0.1364808,0.5378625,0.2473407,0.10973,0.5078577,-0.1399075,0.2226986,0.07989595,0.2871341,0.2052824,0.05080782
-0.6217914,0.1927429,1.407186,-0.3732889,0.2050831,1.417318,0.7887034,0.0689334,1.454829,0.5540081,0.151991,1.449525,-0.09624865,0.121558,1.481177,0.2638561,0.1133774,1.49564,-0.03702465,0.08784728,1.004461,0.2089824,0.07055709,0.9768968,-0.09061813,0.1366119,0.5378606,0.2472168,0.1095658,0.5078726,-0.1399131,0.2226763,0.07985224,0.2870063,0.2051945,0.05083837
-0.6219997,0.1931245,1.407482,-0.373492,0.2054427,1.417513,0.7885683,0.06899854,1.455491,0.5538884,0.1520736,1.449789,-0.09643847,0.1218729,1.481257,0.2636967,0.1135673,1.495744,-0.0371652,0.08781604,1.00445,0.2088477,0.07057193,0.9769098,-0.09069728,0.1367272,0.5378579,0.2471295,0.1094709,0.5078803,-0.1399636,0.2226923,0.07982791,0.2869707,0.2051794,0.05086722
-0.622202,0.1934595,1.40782,-0.3736895,0.2058379,1.417658,0.7884758,0.06917999,1.455909,0.5537598,0.1521331,1.449926,-0.09659278,0.1223201,1.481282,0.2635258,0.1138474,1.495797,-0.03730616,0.08790915,1.004462,0.2087013,0.07060782,0.9769082,-0.09077387,0.1367861,0.5378585,0.2470501,0.1093552,0.5078717,-0.1399774,0.2227018,0.07981243,0.2869594,0.2051618,0.05088516
-0.6223902,0.1939302,1.408073,-0.3738698,0.2062681,1.417762,0.788448,0.06962898,1.455967,0.5536111,0.1522394,1.449988,-0.09678222,0.1226493,1.481293,0.2633446,0.1140956,1.495773,-0.03745431,0.08797532,1.004462,0.2085446,0.07056405,0.9769019,-0.09086289,0.1368484,0.5378517,0.2469569,0.1092703,0.5078671,-0.1399852,0.222713,0.07978727,0.2869346,0.2051475,0.0509014
-0.6225235,0.1943976,1.408209,-0.3739963,0.2066761,1.417799,0.7884494,0.07005937,1.455848,0.5534835,0.1523052,1.449909,-0.09691732,0.1229827,1.481268,0.2632021,0.1143294,1.495739,-0.03758326,0.08800258,1.004464,0.2084076,0.070519,0.9768776,-0.09093764,0.1368455,0.5378446,0.2468636,0.1091782,0.5078426,-0.1399978,0.2227166,0.07977472,0.2868885,0.2051344,0.05089756
-0.6225978,0.1948553,1.408237,-0.3740662,0.2071239,1.417722,0.7890491,0.07143598,1.454552,0.5535066,0.1521082,1.450043,-0.09702605,0.1233187,1.481214,0.2630711,0.1146328,1.495305,-0.03769061,0.08798984,1.004494,0.2082941,0.07047593,0.976872,-0.09100532,0.1367881,0.537865,0.2467886,0.1091502,0.5078413,-0.1400041,0.2227097,0.07979804,0.2869007,0.2051381,0.05091066
-0.622642,0.1952186,1.408158,-0.3741114,0.2075423,1.417599,0.7890947,0.07188418,1.45401,0.5534295,0.1522076,1.449689,-0.09709924,0.1237067,1.481173,0.2630208,0.1149207,1.495278,-0.03778935,0.08791935,1.004445,0.2081965,0.07044882,0.9768052,-0.09107115,0.1367312,0.5378135,0.2467206,0.1090502,0.507771,-0.1400397,0.2227229,0.07975648,0.2869044,0.2051259,0.05086496
-0.6226305,0.195522,1.407972,-0.3741048,0.207954,1.417398,0.7892226,0.07249761,1.453279,0.5533689,0.152282,1.449265,-0.09711204,0.1241589,1.48111,0.2630019,0.1151109,1.495213,-0.03789372,0.08785098,1.00444,0.2080947,0.07046259,0.9767715,-0.09114818,0.1366585,0.5378056,0.246642,0.1089405,0.5077291,-0.1400846,0.2227053,0.07975549,0.2869001,0.2051283,0.05085321
-0.6226,0.1958978,1.407628,-0.3740783,0.2083102,1.417186,0.7894058,0.07314123,1.452367,0.5533441,0.1523285,1.44878,-0.09708021,0.1245981,1.480984,0.2630096,0.1153752,1.495106,-0.03802389,0.08776391,1.004433,0.2079692,0.07045686,0.9767551,-0.09122396,0.1365726,0.5377919,0.2465718,0.1087033,0.5076982,-0.1401158,0.2227147,0.07975498,0.2868603,0.2051134,0.05087192
-0.62256,0.1962228,1.407181,-0.3740423,0.2085699,1.416926,0.7896276,0.07379321,1.451425,0.5533589,0.1523787,1.448256,-0.09702787,0.125021,1.480867,0.2630444,0.1156865,1.494915,-0.0382297,0.08759791,1.004437,0.2077306,0.06981266,0.9767711,-0.09132353,0.1364868,0.5377923,0.2464561,0.1085976,0.5077686,-0.1401079,0.222723,0.07976153,0.2868004,0.2050293,0.05095176
-0.6224686,0.1964654,1.406763,-0.373957,0.2088542,1.41661,0.7899011,0.07448148,1.450461,0.5534177,0.1524353,1.447748,-0.09693414,0.125493,1.480759,0.2631241,0.1159834,1.494723,-0.03838743,0.0873998,1.004454,0.207545,0.06926737,0.9767644,-0.09138946,0.1363631,0.5378062,0.2463623,0.1085015,0.5078069,-0.1401105,0.222719,0.07979131,0.2867994,0.2050144,0.05101547
-0.6223369,0.1966017,1.406337,-0.3738364,0.2091453,1.416268,0.79018,0.07515053,1.449494,0.5535105,0.1525526,1.44723,-0.09682073,0.1259415,1.480651,0.2632454,0.1162661,1.494508,-0.03849677,0.08725193,1.004433,0.2074255,0.06903625,0.9767089,-0.09144946,0.1361921,0.5377778,0.2462802,0.1083715,0.5077629,-0.1401299,0.2227222,0.0797914,0.2867721,0.2050138,0.05100367
-0.622167,0.1967346,1.405972,-0.3736764,0.2094632,1.415914,0.7904657,0.07575358,1.448554,0.553592,0.1525395,1.446702,-0.09670299,0.1263443,1.480588,0.2633555,0.1166135,1.494429,-0.03860771,0.0871136,1.004437,0.2073025,0.06878518,0.9766793,-0.09151031,0.1360475,0.537775,0.2462102,0.108223,0.5077463,-0.1401821,0.2227081,0.07981243,0.286754,0.2049875,0.05101756
-0.6219997,0.1967725,1.405696,-0.3735179,0.2097491,1.415538,0.790723,0.07628435,1.447661,0.5537073,0.152639,1.446201,-0.09655597,0.1267652,1.480434,0.2635029,0.1169535,1.494303,-0.03868563,0.08695391,1.004434,0.2072144,0.06855746,0.9766319,-0.09157054,0.1358859,0.5377702,0.2461465,0.1080612,0.5077065,-0.1402511,0.2227112,0.07983975,0.286746,0.2049783,0.05101502
-0.6218163,0.1967473,1.405518,-0.3733433,0.2100112,1.415197,0.790973,0.07681502,1.446759,0.5538305,0.1527822,1.44575,-0.0964072,0.1271506,1.480361,0.2636528,0.117306,1.494166,-0.03874157,0.08684869,1.004421,0.2071489,0.06835888,0.9765967,-0.09159334,0.1357416,0.5377495,0.2460808,0.1078915,0.5076737,-0.1402514,0.2227177,0.07984529,0.2867038,0.2049824,0.0510213
-0.6216393,0.1967221,1.40545,-0.3731751,0.2102883,1.414933,0.7912606,0.07728503,1.445869,0.5540016,0.1528924,1.445305,-0.09624185,0.1275683,1.480288,0.2638471,0.1176037,1.493996,-0.03874652,0.08675399,1.004415,0.2071355,0.06821477,0.9765487,-0.09160101,0.1355904,0.537738,0.2460417,0.1076997,0.5076196,-0.1402622,0.2227249,0.07986419,0.2866778,0.2049811,0.05100879
-0.62146,0.1964754,1.405392,-0.3730134,0.2104948,1.414677,0.7914723,0.07758074,1.444956,0.5541521,0.152998,1.444784,-0.09605066,0.1280379,1.480238,0.2640233,0.1180015,1.493839,-0.0387566,0.0866922,1.004412,0.2071175,0.06807797,0.9765261,-0.09160391,0.1354258,0.537723,0.2460025,0.1075072,0.5075905,-0.1402432,0.2227061,0.07987469,0.2866088,0.2049707,0.05101591
-0.6213304,0.1964356,1.405282,-0.3728927,0.2106421,1.414519,0.7916535,0.07773788,1.444236,0.5542971,0.153041,1.444383,-0.09587453,0.1284177,1.480138,0.2641903,0.1182551,1.493717,-0.03874536,0.08667669,1.004416,0.2071221,0.06800728,0.976508,-0.09159991,0.1353151,0.5377179,0.2459884,0.1074095,0.5075687,-0.1402183,0.2227101,0.07988928,0.2866015,0.204973,0.05101601
-0.6211523,0.1962923,1.404965,-0.3727336,0.2108055,1.414238,0.7915136,0.07717516,1.443447,0.5544114,0.1532747,1.443349,-0.09561019,0.1289986,1.479934,0.2644536,0.1187157,1.493708,-0.03868837,0.08668746,1.004415,0.2071681,0.06790572,0.9764853,-0.09158922,0.1350746,0.5376958,0.2459923,0.1071587,0.5075299,-0.1402007,0.2226948,0.07990942,0.2865709,0.204967,0.05102663
-0.6209884,0.195977,1.404535,-0.3725967,0.2108877,1.4139,0.791646,0.07695953,1.441999,0.5545944,0.1532148,1.442535,-0.09539317,0.1295116,1.479793,0.2646784,0.1191144,1.493443,-0.03862656,0.08672179,1.004397,0.2072227,0.06786838,0.9764528,-0.09156029,0.1349176,0.5376623,0.2460132,0.1070152,0.5074857,-0.1401805,0.2226666,0.07990151,0.2865794,0.2049728,0.05101332
-0.620819,0.1954913,1.403798,-0.3724637,0.2108837,1.413348,0.791707,0.07649942,1.4401,0.5547308,0.1529796,1.441409,-0.09520487,0.1299831,1.479593,0.2648713,0.1195276,1.493064,-0.03856166,0.08679234,1.004379,0.20728,0.06785303,0.9764253,-0.09154584,0.1347558,0.5376256,0.2460454,0.1069022,0.507448,-0.1401428,0.2226662,0.07989326,0.2866128,0.2049805,0.05100168
-0.6205903,0.1947332,1.402771,-0.3722862,0.2108313,1.412487,0.7916731,0.07580997,1.437669,0.5548235,0.1526584,1.439957,-0.09501112,0.1304955,1.479349,0.2650558,0.1199768,1.492611,-0.03847555,0.08691398,1.004362,0.2073607,0.06790999,0.9764054,-0.0915013,0.1346117,0.5375869,0.2460816,0.1068359,0.5074142,-0.1401169,0.2226442,0.07988004,0.2866383,0.2049967,0.05098469
-0.620324,0.1940631,1.401082,-0.3720807,0.2107515,1.411339,0.7914207,0.07492968,1.434477,0.5547888,0.1524024,1.437924,-0.09481817,0.1310157,1.478966,0.2652436,0.1202442,1.492102,-0.03837615,0.08702249,1.00436,0.2074597,0.06802428,0.9763957,-0.09143712,0.1345066,0.5375668,0.2461271,0.106753,0.5073838,-0.1400404,0.2226334,0.07987681,0.2866425,0.2049997,0.05096905
-0.6199395,0.1929778,1.398749,-0.3717917,0.2106144,1.409705,0.7909685,0.07356329,1.430492,0.5546784,0.152008,1.435184,-0.09458447,0.1315865,1.478383,0.265446,0.1204843,1.491368,-0.03824194,0.08720045,1.004375,0.2076009,0.06831492,0.9763952,-0.09137017,0.1344029,0.5375603,0.2462022,0.1066882,0.5073487,-0.1400363,0.2226373,0.07989781,0.2866856,0.2050189,0.05094913
-0.6194836,0.1917873,1.395508,-0.3714599,0.2104684,1.407495,0.7903132,0.07225572,1.425326,0.554369,0.1516183,1.431692,-0.09442341,0.1321636,1.477673,0.2655797,0.1206223,1.490393,-0.0381431,0.08740489,1.004372,0.2077038,0.06859748,0.9763761,-0.0913209,0.134305,0.5375327,0.2462686,0.1066515,0.5073004,-0.139984,0.2226181,0.07988504,0.2867212,0.2050362,0.05090982
-0.618848,0.1905052,1.391064,-0.3709935,0.2103457,1.40459,0.7895283,0.07076909,1.419151,0.5539433,0.1510205,1.427402,-0.09427506,0.1327225,1.476752,0.2656969,0.1207291,1.489064,-0.03800272,0.08768968,1.004336,0.2078569,0.06904009,0.9763458,-0.09126665,0.1342401,0.5374718,0.2463477,0.1066653,0.5072295,-0.1399814,0.2226092,0.07984042,0.2867522,0.205052,0.05083508
-0.6179642,0.1891159,1.38509,-0.3703282,0.2101227,1.400696,0.7885641,0.06913915,1.411522,0.5533823,0.1502612,1.422355,-0.09407472,0.1334064,1.475559,0.2657927,0.1208633,1.487423,-0.03788345,0.0879316,1.004284,0.207997,0.06953138,0.9763118,-0.09120853,0.1342021,0.5373989,0.2464337,0.1067735,0.5071606,-0.1399459,0.222616,0.07977857,0.2867764,0.2050824,0.0507439
-0.6166567,0.1872072,1.377611,-0.3693267,0.2098434,1.39561,0.7873552,0.0673648,1.402255,0.5526518,0.1493501,1.416443,-0.09386704,0.1341215,1.474312,0.2658917,0.12095,1.485493,-0.03782791,0.08817321,1.004164,0.2080692,0.06996836,0.9762104,-0.09119795,0.1342467,0.537264,0.2464788,0.1068855,0.5070311,-0.1399555,0.2226484,0.07964351,0.2868091,0.2051282,0.05059917
-0.6148664,0.1849758,1.367957,-0.3679645,0.209408,1.389194,0.7857042,0.06547362,1.391033,0.5515814,0.1482861,1.409396,-0.09358484,0.1350022,1.472772,0.2659276,0.1211075,1.483348,-0.03780335,0.08845622,1.004082,0.2081205,0.07052655,0.9761859,-0.09119366,0.1343125,0.5371635,0.2465216,0.1070119,0.5069723,-0.1399558,0.2226996,0.0795406,0.2868338,0.2051365,0.0505132
-0.6123491,0.1823522,1.355978,-0.3660464,0.2088854,1.381265,0.7834718,0.0634226,1.377759,0.5501525,0.1472592,1.401043,-0.09321412,0.1361275,1.471124,0.2660079,0.1211449,1.480954,-0.03785216,0.08870275,1.004003,0.2081005,0.07117324,0.9761068,-0.09123302,0.1343521,0.5370632,0.2465263,0.1071315,0.5068544,-0.1399755,0.2227355,0.07943755,0.2868366,0.2051504,0.05037255
-0.6090257,0.1795423,1.341546,-0.3635304,0.2080764,1.371982,0.7806539,0.06139416,1.362545,0.5483205,0.146171,1.391575,-0.09265289,0.1371551,1.468943,0.2660554,0.1211177,1.478203,-0.03797118,0.08896205,1.003826,0.2080099,0.07183752,0.9759284,-0.09130998,0.1343835,0.5368586,0.2465146,0.1072842,0.5066435,-0.1400212,0.2228073,0.07923743,0.2868829,0.2052004,0.05014476
-0.6048365,0.1759632,1.32485,-0.3604977,0.2070559,1.36146,0.7770466,0.05930566,1.345252,0.5460719,0.1451605,1.381144,-0.09199855,0.138466,1.466386,0.2660444,0.1211409,1.475024,-0.03811961,0.08951303,1.003649,0.2078729,0.07253255,0.9757649,-0.09144087,0.1344237,0.5366307,0.2464568,0.107483,0.5064494,-0.140133,0.222914,0.07902028,0.2869412,0.2052788,0.04993506
-0.5997439,0.1723929,1.306096,-0.3568942,0.2057172,1.349936,0.7724228,0.05723995,1.326113,0.5432323,0.1442329,1.369846,-0.09126062,0.1394444,1.463305,0.2658683,0.1210756,1.471526,-0.03838655,0.0900574,1.003375,0.2076027,0.07312038,0.9754351,-0.09164527,0.1346024,0.5363143,0.2463696,0.1077148,0.5061083,-0.1402921,0.2230549,0.0786918,0.2869951,0.2053618,0.04957464
-0.593408,0.1677005,1.285264,-0.3526227,0.2039701,1.337374,0.766665,0.05511998,1.305261,0.5397583,0.1434188,1.357465,-0.09049416,0.1405588,1.460148,0.2655652,0.1212301,1.467609,-0.03870635,0.09069269,1.003149,0.2072637,0.07366449,0.9750953,-0.09188288,0.1348285,0.5360398,0.2462319,0.1079159,0.50576,-0.1404369,0.2231722,0.07838648,0.2870513,0.2054323,0.04921578
-0.585723,0.1635788,1.263058,-0.34754,0.2025084,1.324391,0.7596754,0.05293256,1.282722,0.535646,0.1427032,1.344046,-0.0894914,0.141466,1.456643,0.2652672,0.1216029,1.463444,-0.03900622,0.09128699,1.002907,0.2069618,0.07458738,0.974639,-0.09211508,0.1350924,0.5357594,0.2460533,0.1080068,0.505254,-0.1405998,0.2232919,0.07807086,0.2871375,0.2055478,0.04873873
-0.5768783,0.1588592,1.238749,-0.3421148,0.199802,1.310986,0.7512352,0.05078962,1.258619,0.5307781,0.1421028,1.329817,-0.08845823,0.1413707,1.452584,0.2649181,0.121917,1.459111,-0.03944189,0.09206519,1.00262,0.2064234,0.07421079,0.9741657,-0.09242648,0.1354297,0.5354175,0.2458604,0.1080662,0.5048408,-0.1407384,0.2234197,0.07767035,0.2872599,0.2057003,0.04837394
-0.5663688,0.1544144,1.213541,-0.3358339,0.1977359,1.29712,0.7410864,0.04875702,1.233361,0.5250362,0.1417812,1.315076,-0.0873557,0.1415722,1.44848,0.2643797,0.1222185,1.454651,-0.03977632,0.09291653,1.002281,0.2060623,0.07510985,0.9735667,-0.09272788,0.1357085,0.5350219,0.2456643,0.1080731,0.5041923,-0.1409419,0.2235747,0.07724065,0.2874532,0.2058731,0.0477964
-0.5542294,0.1497214,1.187457,-0.3288958,0.1953219,1.283133,0.7290272,0.04670439,1.20717,0.518382,0.1417725,1.299902,-0.08617336,0.1416596,1.444415,0.2637574,0.1225247,1.45024,-0.0402013,0.09356523,1.001924,0.2056008,0.07568476,0.9729443,-0.09310212,0.1358064,0.5346085,0.2454527,0.1080403,0.5035487,-0.1411622,0.2237239,0.07682089,0.2876253,0.2060384,0.04723062
-0.5403118,0.1450814,1.160772,-0.3210773,0.1928259,1.268777,0.714879,0.04450791,1.180249,0.5106645,0.1418984,1.284269,-0.08493251,0.1417157,1.440327,0.2629858,0.1229204,1.445827,-0.04071655,0.09426199,1.001596,0.2050403,0.07624219,0.9723202,-0.09347583,0.1359391,0.5342139,0.245215,0.1079407,0.5029073,-0.1414101,0.2239197,0.07642527,0.2877733,0.2062141,0.04668424
-0.5248888,0.1405906,1.134262,-0.3124464,0.1902466,1.254307,0.6987534,0.04238392,1.153159,0.5018628,0.1421371,1.26845,-0.0838749,0.1415725,1.436493,0.2621575,0.123208,1.441623,-0.04121703,0.09500957,1.001107,0.2045048,0.07677341,0.9716713,-0.09388923,0.136092,0.5336624,0.2449737,0.1080342,0.5022542,-0.1416706,0.2241172,0.07586635,0.2878393,0.2061719,0.04603078
-0.5071827,0.1355175,1.106502,-0.3031319,0.1875172,1.239422,0.6802304,0.04004329,1.124433,0.4923106,0.1418319,1.252236,-0.08267689,0.1408757,1.431854,0.2606567,0.1237919,1.43613,-0.04175922,0.09558601,1.000831,0.2039393,0.07743837,0.9711485,-0.09425096,0.1362416,0.5333295,0.244737,0.1079915,0.5017133,-0.1418255,0.2242638,0.07551139,0.2880408,0.2064043,0.04559052
-0.4878287,0.1303177,1.079467,-0.2928978,0.1844364,1.224662,0.6592888,0.03764114,1.095662,0.4814897,0.1412514,1.23588,-0.08175885,0.1398326,1.42773,0.2591986,0.1242506,1.431081,-0.04231955,0.09634134,1.000376,0.2033275,0.07792024,0.970436,-0.09463147,0.1361632,0.5327821,0.2444807,0.1077255,0.5009838,-0.1419689,0.2244769,0.07499546,0.2883069,0.2067591,0.04504535
-0.4670826,0.1256194,1.0534,-0.2821921,0.1810095,1.21074,0.6360008,0.03535409,1.067459,0.4693957,0.1403976,1.219831,-0.08020065,0.1414709,1.423911,0.2578804,0.1245155,1.426749,-0.04293269,0.09690905,0.9997362,0.2026814,0.07840893,0.9695757,-0.09503807,0.135827,0.5320433,0.2442105,0.1075279,0.5001135,-0.1421638,0.2247171,0.0743464,0.2884584,0.2069375,0.04429758
-0.4444484,0.1200851,1.028057,-0.2707877,0.1781687,1.196808,0.6093357,0.03287822,1.039029,0.4565472,0.1393549,1.204337,-0.080534,0.1352847,1.419901,0.2558821,0.1252771,1.421918,-0.04353515,0.09769252,0.9994306,0.2020303,0.07894525,0.9690273,-0.09540112,0.135161,0.5315927,0.2439125,0.1074024,0.499556,-0.1423248,0.2250343,0.07406705,0.2886345,0.2071237,0.04385439
-0.4196643,0.1144991,1.003963,-0.2590287,0.1745911,1.1845,0.5803441,0.0306506,1.012951,0.4427192,0.1388693,1.190029,-0.07916268,0.1382587,1.417167,0.2543224,0.1259127,1.418381,-0.04408921,0.098441,0.9992049,0.2014455,0.07963498,0.968591,-0.09573904,0.1335171,0.5311577,0.2435854,0.1070586,0.4990812,-0.1424628,0.2252616,0.07398314,0.2885151,0.2072344,0.0434997
-0.3943718,0.1089868,0.9826319,-0.2469056,0.1721598,1.173082,0.5492063,0.02846006,0.9891164,0.4277318,0.1384649,1.176604,-0.07973525,0.1336368,1.414693,0.2526393,0.1257303,1.415322,-0.04475163,0.09911088,0.9992648,0.2007234,0.08019269,0.9682432,-0.09594563,0.1311855,0.5309522,0.2431998,0.107127,0.4987354,-0.1422177,0.2247071,0.07409186,0.2887832,0.2074147,0.04324347
-0.368104,0.1031727,0.962895,-0.235037,0.1694962,1.162652,0.5164543,0.02657624,0.9677126,0.4116879,0.1381097,1.164163,-0.07963331,0.1321501,1.412173,0.2509112,0.1253076,1.412745,-0.04548878,0.1000882,0.9993162,0.1999407,0.0810758,0.9679937,-0.09611272,0.1278953,0.530669,0.2428197,0.1069383,0.4984623,-0.1418612,0.2243963,0.07437589,0.288895,0.2075109,0.04308268
-0.3413413,0.09718804,0.9453182,-0.2234552,0.1665766,1.153396,0.4826076,0.02518232,0.9491851,0.3949186,0.1380402,1.153103,-0.07981579,0.1298553,1.40996,0.2492852,0.1244583,1.410808,-0.04628221,0.1008024,0.9994757,0.1991147,0.0820162,0.9677642,-0.09636761,0.1238344,0.5305117,0.2423228,0.1063548,0.4981815,-0.1415961,0.2239976,0.07495656,0.2888691,0.2076561,0.04301134
-0.3147257,0.09126282,0.9307002,-0.2129093,0.1644738,1.145833,0.4471986,0.02444676,0.9333508,0.3784691,0.1379873,1.144048,-0.08059565,0.1276326,1.4084,0.2477197,0.1232922,1.409556,-0.04726242,0.1014238,0.9998379,0.1981239,0.08314183,0.967752,-0.09675654,0.119267,0.5305851,0.2417856,0.1055718,0.4981161,-0.1411164,0.2232904,0.07581032,0.2887878,0.2076815,0.0431736
